% 1  %DivideBy(%CountNumber(Proximity(Number_body(_range(0,3)),Phrase(Token(optical),Token(zoom)),-4,3)),%CountNumber(Proximity(Number_body(),Phrase(Token(optical),Token(zoom)),-4,3))) %BooleanFeature(Phrase(Number_title(_range(0,3)),HTMLTitle(x)))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
1905,0.0000,0,0
282,0.0000,0,0
3528,0.0000,0,0
2199,0.0000,0,0
21,0.8333,0,0
562,0.0000,0,0
23,0.0000,0,0
261,0.0000,0,0
3278,0.1667,0,0
3821,0.6667,0,1
797,1.0000,0,1
3321,0.2500,0,0
45,1.0000,0,1
772,0.5000,0,0
291,1.0000,0,1
292,1.0000,0,1
294,0.0000,0,0
52,0.5000,0,0
2964,0.0000,0,0
3308,0.0000,0,0
3767,0.0000,0,1
3765,1.0000,0,1
3221,0.5000,0,0
1574,1.0000,0,1
3040,1.0000,0,1
893,0.0000,0,0
3771,0.0000,0,0
344,0.0000,0,0
3474,0.0000,0,0
4212,0.0000,0,0
87,1.0000,0,1
4023,0.0000,0,0
2254,1.0000,0,1
1832,0.0000,0,1
3211,0.3333,0,0
1066,1.0000,0,1
3251,0.0000,0,0
3735,1.0000,0,1
3494,1.0000,0,1
585,0.0000,0,0
1812,0.0000,0,1
4174,0.0000,0,0
1057,1.0000,0,1
379,1.0000,0,1
1538,1.0000,0,1
2559,0.0000,0,0
837,0.0000,0,0
3024,0.5000,0,0
602,1.0000,0,1
1794,0.0000,0,0
4185,0.0000,0,0
1793,0.5000,0,0
606,0.0000,0,0
2032,0.0000,0,0
3165,0.5000,0,0
411,0.0000,0,0
139,0.0000,0,0
953,0.0000,0,0
678,1.0000,0,1
2621,0.0000,0,0
401,0.0000,0,0
3940,0.0000,0,0
135,1.0000,0,1
405,0.0000,0,0
2598,0.1429,0,0
2599,0.1429,0,0
2019,0.8571,0,1
3688,0.4000,0,0
2597,1.0000,0,1
3692,0.0000,0,0
3416,1.0000,0,1
690,0.0000,0,0
2338,0.0000,0,0
2583,0.1429,0,0
3913,0.0000,0,0
2582,0.1429,0,0
2577,1.0000,0,1
2578,1.0000,0,1
2589,1.0000,0,1
3667,0.0000,0,0
3424,1.0000,0,0
2584,0.1429,0,0
669,0.0000,0,0
3929,0.0000,0,0
3181,1.0000,0,1
429,1.0000,0,1
906,0.2500,0,0
1749,1.0000,0,1
188,0.0000,0,0
1988,0.0000,0,0
2573,0.0000,0,0
901,0.0000,0,0
1513,0.0000,0,0
2568,0.0000,0,0
420,1.0000,0,1
2570,1.0000,0,1
422,0.0000,0,0
3169,0.0000,0,0
207,0.0000,0,0
3881,0.0000,0,1
1428,1.0000,0,1
3331,1.0000,0,0
1163,0.6000,0,0
3334,0.3333,0,0
3874,0.0000,0,0
761,0.0000,0,0
1955,1.0000,0,1
754,0.7500,0,0
215,0.2000,0,0
1181,0.0000,0,1
449,0.0000,0,1
999,0.5000,0,1
508,0.0000,0,0
3129,0.0000,0,0
236,0.0000,0,0
976,0.0000,0,0
503,1.0000,0,1
1206,1.0000,0,1
3592,0.0000,0,0
3119,0.0000,0,0
973,1.0000,0,1
248,0.0000,0,0
2630,1.0000,0,1
