% 1 %BooleanFeature(Proximity(Number_body(MONI),Token('"',in,inch),-2,0)) 
% 2 %BooleanFeature(Proximity(Number_title(MONI),HTMLTitle('"',in,inch),-2,0)) 
% 3 %BooleanFeature(Proximity(Number_body(MONI),Or(Phrase(screen size),Token(display)),0,7)) 
% 4 %BooleanFeature(Proximity(Number_body(MONI),Token(widescreen,wxga,xga,tft),-8,0))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE x4	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
8,0,0,0,0,0
45,1,0,1,1,0
82,0,0,0,0,0
112,1,0,1,1,1
120,0,0,0,1,0
129,0,0,0,1,0
210,0,0,0,0,1
227,0,0,0,0,0
240,0,0,0,0,1
245,0,0,0,0,0
249,0,0,0,1,0
250,0,0,0,0,0
255,1,0,0,0,0
271,0,0,0,0,0
278,0,0,0,0,0
283,0,0,0,0,1
318,0,0,0,0,0
326,0,0,0,0,0
334,0,0,0,0,0
377,0,0,0,0,0
414,1,0,1,1,1
437,0,0,0,0,0
445,0,0,0,0,0
453,0,0,0,0,0
461,0,0,0,0,0
476,0,0,0,0,0
503,0,0,0,0,0
507,0,0,0,0,0
534,0,0,0,1,0
539,0,0,0,0,0
586,0,0,0,0,0
608,0,0,0,0,0
627,0,0,0,0,0
658,0,0,0,0,0
685,0,0,0,1,0
686,0,0,0,1,0
687,1,0,0,0,0
695,1,0,0,0,0
711,0,0,0,0,0
734,0,0,0,0,0
751,0,0,0,0,0
757,0,0,0,0,0
772,0,0,0,0,0
801,0,0,0,0,0
805,1,0,1,1,1
818,0,0,0,0,0
849,0,0,0,0,0
869,0,0,0,0,0
875,0,0,0,1,0
878,0,0,0,0,0
901,0,0,0,0,0
902,0,0,0,0,0
914,0,0,0,0,0
923,0,0,0,0,0
970,0,0,0,1,1
983,0,0,0,1,0
985,0,0,0,0,1
993,0,0,0,0,0
1000,0,0,0,0,0
1015,0,0,0,0,0
1027,0,0,0,0,0
1030,0,0,0,0,0
1048,0,0,0,0,0
1080,1,0,1,0,1
1094,0,0,0,0,1
1117,0,0,0,0,0
1123,0,0,0,0,0
1124,0,0,0,0,0
1169,0,0,0,0,0
1179,0,0,0,1,0
1200,0,0,0,0,0
1223,0,0,0,0,0
1234,1,1,1,1,1
1235,0,0,0,0,0
1241,1,0,0,0,0
1245,0,0,0,0,0
1248,0,0,0,0,0
1251,0,0,0,0,0
1256,0,0,0,0,0
1264,1,0,0,0,0
1303,0,0,0,0,0
1305,0,0,0,0,0
1311,0,0,0,0,0
1336,0,0,0,1,0
1343,0,0,0,0,0
1346,0,0,0,0,0
1358,0,0,0,0,0
1362,0,0,0,0,0
1385,0,0,0,0,1
1428,1,0,1,1,1
1437,0,0,0,0,0
1448,0,0,0,0,0
1451,0,0,0,0,0
1500,0,0,0,0,0
1526,0,0,0,0,0
1551,0,0,0,1,0
1566,0,0,0,1,0
1587,0,0,0,0,0
1608,1,0,1,0,0
1614,1,1,0,1,1
1627,0,0,0,0,0
1635,1,0,0,0,0
1639,0,0,0,0,0
1648,1,0,0,0,0
1673,0,0,0,0,0
1680,0,0,0,0,1
1686,0,0,0,0,0
1704,1,0,1,1,1
1724,0,0,0,0,0
1734,0,0,0,1,0
1771,1,0,1,0,1
1775,0,0,0,0,0
1778,0,0,0,0,0
1800,0,0,0,0,0
1806,0,0,0,0,0
1831,0,0,0,0,0
1845,1,0,1,1,1
