% %Log(%TFFeature(Token(computer))) %BooleanFeature(Proximity(Token(department),Token(computer),-5,5)) %BooleanFeature(Proximity(Token(professor),Token(computer),-3,3))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
6328,0.0270,0,0,0
8528,0.0749,1,1,0
8536,0.0515,1,1,1
7813,0.0175,0,0,0
3082,0.0379,0,0,0
7814,0.0175,0,0,0
7815,0.0608,1,1,0
10977,0,0,0,0
6788,0.0687,1,0,1
5168,0.0395,0,0,0
7404,0.0433,1,1,1
10705,0,0,0,0
8521,0.0866,1,1,1
10357,0.0345,1,0,0
6905,0.0343,1,1,1
8696,0.0608,1,1,0
8697,0.0601,1,1,0
8695,0.0760,1,0,0
8716,0.0812,1,0,1
6353,0.0379,1,0,0
8714,0.0975,0,1,1
7249,0.0601,1,0,1
8570,0.0650,1,0,0
8712,0.0291,1,0,0
8569,0.0650,1,0,0
7786,0.0325,1,0,1
7784,0.0456,1,1,1
6285,0.0257,1,0,0
7841,0.0433,0,1,0
8734,0.0840,1,0,0
7776,0.0271,1,1,1
8851,0.0650,1,0,0
6337,0.0270,0,0,0
7782,0.1733,1,0,1
6328,0.0081,0,0,0
8528,0,0,0,0
8536,0,0,0,0
7813,0,0,0,0
3082,0,0,0,0
7814,0,0,0,0
7815,0,0,0,0
10977,0,0,0,0
6788,0,0,0,0
5168,0,0,0,0
7404,0,0,0,0
10705,0,0,0,0
8521,0,0,0,0
10357,0,0,0,0
6905,0,0,0,0
8696,0,0,0,0
8697,0,0,0,0
8695,0,0,0,0
8716,0,0,0,0
6353,0,0,0,0
8714,0,0,0,0
7249,0.0379,0,0,1
8570,0,0,0,0
8712,0,0,0,0
8569,0,0,0,0
7786,0,0,0,0
7784,0,0,0,0
6285,0,0,0,0
7841,0,0,0,0
8734,0,0,0,0
7776,0,0,0,0
8851,0,0,0,0
6337,0.0162,0,0,0
7782,0,0,0,0
6328,0,0,0,0
8528,0,0,0,0
8536,0,0,0,0
7813,0,0,0,0
3082,0,0,0,0
7814,0,0,0,0
7815,0,0,0,0
10977,0,0,0,0
6788,0,0,0,0
5168,0,0,0,0
7404,0,0,0,0
10705,0,0,0,0
8521,0,0,0,0
10357,0.0351,1,1,1
6905,0,0,0,0
8696,0,0,0,0
8697,0,0,0,0
8695,0,0,0,0
8716,0,0,0,0
6353,0,0,0,0
8714,0,0,0,0
7249,0,0,0,0
8570,0,0,0,0
8712,0,0,0,0
8569,0,0,0,0
7786,0,0,0,0
7784,0,0,0,0
6285,0,0,0,0
7841,0,0,0,0
8734,0,0,0,0
7776,0,0,0,0
8851,0,0,0,0
6337,0,0,0,0
7782,0,0,0,0
6328,0,0,0,0
8528,0,0,0,0
8536,0,0,0,0
7813,0,0,0,0
3082,0,0,0,0
7814,0,0,0,0
7815,0,0,0,0
10977,0,0,0,0
6788,0,0,0,0
5168,0,0,0,0
7404,0,0,0,0
10705,0,0,0,0
8521,0,0,0,0
10357,0,0,0,0
6905,0,0,0,0
8696,0,0,0,0
8697,0,0,0,0
8695,0,0,0,0
8716,0,0,0,0
6353,0,0,0,0
8714,0,0,0,0
7249,0.0379,0,0,1
8570,0,0,0,0
8712,0,0,0,0
8569,0,0,0,0
7786,0,0,0,0
7784,0,0,0,0
6285,0,0,0,0
7841,0,0,0,0
8734,0,0,0,0
7776,0,0,0,0
8851,0,0,0,0
6337,0,0,0,0
7782,0,0,0,0
6328,0.0129,0,0,0
8528,0.0825,1,1,0
8536,0.0515,1,0,1
7813,0.0068,0,0,0
3082,0,0,0,0
7814,0.0068,0,0,0
7815,0.0650,1,1,0
10977,0,0,0,0
6788,0.0650,1,0,1
5168,0,0,0,0
7404,0.0343,1,1,1
10705,0,0,0,0
8521,0.0687,1,1,1
10357,0.0382,1,0,0
6905,0.0433,1,0,1
8696,0.0433,1,1,0
8697,0.0630,1,1,0
8695,0.0629,1,0,0
8716,0,0,0,1
6353,0.0379,1,0,0
8714,0.0840,0,1,1
7249,0.0980,1,0,1
8570,0.0515,1,0,0
8712,0.0270,1,0,0
8569,0.0515,1,0,0
7786,0.0420,1,0,1
7784,0.0456,1,0,1
6285,0.0325,1,0,0
7841,0.0503,0,1,0
8734,0.0650,1,0,0
7776,0.0429,1,0,1
8851,0.0650,1,0,0
6337,0.0162,0,0,0
7782,0.1733,1,0,1
6328,0,0,0,0
8528,0,0,0,0
8536,0,0,0,0
7813,0,0,0,0
3082,0,0,0,0
7814,0,0,0,0
7815,0,0,0,0
10977,0,0,0,0
6788,0,0,0,0
5168,0,0,0,0
7404,0,0,0,0
10705,0,0,0,0
8521,0,0,0,0
10357,0,0,0,0
6905,0,0,0,0
8696,0,0,0,0
8697,0,0,0,0
8695,0,0,0,0
8716,0,0,0,0
6353,0,0,0,0
8714,0,0,0,0
7249,0.0601,0,0,1
8570,0,0,0,0
8712,0,0,0,0
8569,0,0,0,0
7786,0,0,0,0
7784,0,0,0,0
6285,0,0,0,0
7841,0,0,0,0
8734,0,0,0,0
7776,0,0,0,0
8851,0,0,0,0
6337,0,0,0,0
7782,0,0,0,0
