% 1  %BooleanFeature(HTMLTitle(canon))  %Log(%TFFeature(Token(canon)))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
1905,1,0.0585,1
282,0,0.0300,0
831,0,0,0
286,1,0.0474,1
4076,0,0,0
3528,0,0,0
2199,1,0.1002,1
21,0,0,0
562,1,0.0476,1
23,0,0.0129,0
261,0,0.0172,0
1353,1,0.0497,1
560,1,0.0542,1
3278,1,0.0379,1
3821,0,0,0
3793,0,0.0271,0
797,0,0,0
1124,0,0,0
520,0,0,0
3321,1,0.0722,1
45,0,0,0
772,0,0,0
291,0,0.0135,0
292,0,0,0
294,0,0,0
52,1,0.0433,1
2964,1,0.0380,1
3308,0,0,0
3459,1,0.1028,1
3767,0,0,0
3765,0,0.0215,0
3221,0,0,0
1574,0,0,0
3224,0,0.0129,0
3040,0,0,0
893,0,0,0
3771,0,0.0429,0
620,0,0.0095,0
344,1,0.0412,1
3474,0,0.0300,0
4212,0,0,0
87,1,0.0515,1
4023,0,0,0
2254,0,0.0215,0
1832,1,0.0846,1
3208,0,0,0
3211,0,0.0215,0
1066,0,0.0215,0
3251,0,0.0325,0
3735,0,0.0172,0
101,1,0.0465,1
96,0,0,0
3494,0,0.0217,0
852,0,0,0
585,0,0.0108,0
108,0,0,0
1812,1,0.0885,1
4174,1,0.0601,1
1057,0,0,0
379,1,0.0853,1
1538,0,0.0190,0
4180,0,0,0
2559,0,0,0
837,0,0,0
600,0,0,0
3024,0,0,0
602,0,0.0343,0
1794,0,0.0257,0
4185,1,0.0635,1
1793,0,0.0325,0
606,0,0.0108,0
2032,1,0.0515,1
3165,0,0.0429,0
137,1,0.0474,1
411,0,0.0343,0
139,0,0.0215,0
409,0,0,0
953,0,0.0162,0
1219,0,0.0343,0
678,0,0,0
2621,0,0,0
401,0,0.0215,0
676,1,0.0465,1
3940,0,0.0300,0
675,1,0.0564,1
135,0,0.0343,0
405,0,0.0215,0
2598,1,0.0443,1
2599,1,0.0443,1
2019,1,0.0560,1
3688,0,0,0
2597,1,0.0412,1
3692,0,0.0172,0
3416,0,0,0
690,0,0,0
2338,1,0.0805,1
2583,0,0,0
3913,0,0.0343,0
2582,0,0.0108,0
2577,0,0,0
2579,0,0,0
2578,0,0,0
2589,0,0,0
3667,0,0,0
3424,0,0,0
641,0,0,0
2584,0,0,0
3931,0,0,0
669,0,0.0601,0
3929,0,0,0
3181,0,0,0
429,0,0.0215,0
906,0,0,0
1749,0,0,0
188,0,0.0215,0
1988,1,0.0585,1
3663,0,0,0
417,0,0,0
2573,0,0,0
901,0,0.0304,0
1513,0,0,0
2568,0,0,0
420,1,0.0542,1
2570,0,0,0
422,1,0.0790,1
3169,0,0.0172,0
207,0,0,0
474,0,0.0172,0
3881,0,0.0172,0
1428,0,0,0
3331,1,0.0429,1
1163,0,0.0377,0
3334,0,0,0
1978,1,0.0504,1
464,0,0.0108,0
3874,0,0.0135,0
3353,1,0.0777,1
761,1,0.0452,1
1955,1,0.0621,1
754,0,0,0
3072,0,0,0
215,0,0.0108,0
1181,0,0.0150,0
449,0,0.0217,0
999,0,0.0215,0
3617,0,0,0
508,0,0.0217,0
237,0,0,0
3129,0,0,0
236,0,0.0215,0
976,0,0,0
503,0,0.0343,0
970,0,0,0
1203,0,0,0
1206,0,0,0
3592,0,0.0068,0
3119,0,0.0215,0
973,0,0,0
248,0,0.0343,0
2630,0,0,0
485,1,0.0432,1
2632,0,0,0
724,0,0,0
2636,0,0.0135,0
1213,0,0.0135,0
3109,0,0,0
1905,0,0,0
282,0,0,0
831,0,0,0
286,0,0,0
4076,0,0,0
3528,0,0,0
2199,0,0,0
21,0,0,0
562,0,0,0
23,0,0,0
261,0,0,0
1353,0,0,0
560,0,0,0
3278,0,0,0
3821,0,0,0
3793,0,0,0
797,0,0,0
1124,0,0,0
520,0,0,0
3321,0,0,0
45,0,0,0
772,0,0,0
291,0,0,0
292,0,0,0
294,0,0,0
52,0,0,0
2964,0,0,0
3308,0,0,0
3459,0,0,0
3767,0,0,0
3765,0,0,0
3221,0,0,0
1574,0,0,0
3224,0,0,0
3040,0,0,0
893,0,0,0
3771,0,0,0
620,0,0,0
344,0,0,0
3474,0,0,0
4212,0,0,0
87,0,0,0
4023,0,0,0
2254,0,0,0
1832,0,0,0
3208,0,0,0
3211,0,0,0
1066,0,0,0
3251,0,0,0
3735,0,0,0
101,0,0,0
96,0,0,0
3494,0,0,0
852,0,0,0
585,0,0,0
108,0,0,0
1812,0,0,0
4174,0,0,0
1057,0,0,0
379,0,0,0
1538,0,0,0
4180,0,0,0
2559,0,0,0
837,0,0,0
600,0,0,0
3024,0,0,0
602,0,0,0
1794,0,0,0
4185,0,0,0
1793,0,0,0
606,0,0,0
2032,0,0,0
3165,0,0,0
137,0,0,0
411,0,0,0
139,0,0,0
409,0,0,0
953,0,0,0
1219,0,0,0
678,0,0,0
2621,0,0,0
401,0,0,0
676,0,0,0
3940,0,0,0
675,0,0,0
135,0,0,0
405,0,0,0
2598,0,0,0
2599,0,0,0
2019,0,0,0
3688,0,0,0
2597,0,0,0
3692,0,0,0
3416,0,0,0
690,0,0,0
2338,0,0,0
2583,0,0,0
3913,0,0,0
2582,0,0,0
2577,0,0,0
2579,0,0,0
2578,0,0,0
2589,0,0,0
3667,0,0,0
3424,0,0,0
641,0,0,0
2584,0,0,0
3931,1,0.0601,1
669,0,0,0
3929,0,0,0
3181,0,0,0
429,0,0,0
906,0,0,0
1749,0,0,0
188,0,0,0
1988,0,0,0
3663,0,0,0
417,0,0,0
2573,0,0,0
901,0,0,0
1513,0,0,0
2568,0,0,0
420,0,0,0
2570,0,0,0
422,0,0,0
3169,0,0,0
207,0,0,0
474,0,0,0
3881,0,0,0
1428,0,0,0
3331,0,0,0
1163,0,0,0
3334,0,0,0
1978,0,0,0
464,0,0,0
3874,0,0,0
3353,0,0,0
761,0,0,0
1955,0,0,0
754,0,0,0
3072,0,0,0
215,0,0,0
1181,0,0,0
449,0,0,0
999,0,0,0
3617,0,0,0
508,0,0,0
237,0,0,0
3129,0,0,0
236,0,0,0
976,0,0,0
503,0,0,0
970,0,0,0
1203,0,0,0
1206,0,0,0
3592,0,0,0
3119,0,0,0
973,0,0,0
248,0,0,0
2630,0,0,0
485,0,0,0
2632,0,0,0
724,0,0,0
2636,0,0,0
1213,0,0,0
3109,0,0,0
1905,0,0,0
282,0,0,0
831,0,0,0
286,0,0.0129,0
4076,0,0,0
3528,0,0,0
2199,0,0,0
21,0,0,0
562,0,0.0172,0
23,0,0.0129,0
261,0,0.0172,0
1353,0,0.0095,0
560,0,0,0
3278,0,0.0150,0
3821,0,0,0
3793,0,0,0
797,0,0,0
1124,0,0,0
520,0,0,0
3321,0,0.0190,0
45,0,0,0
772,0,0,0
291,0,0.0135,0
292,0,0.0135,0
294,0,0.0162,0
52,0,0,0
2964,0,0,0
3308,0,0,0
3459,0,0,0
3767,0,0,0
3765,0,0.0215,0
3221,0,0,0
1574,0,0,0
3224,0,0.0129,0
3040,0,0,0
893,0,0,0
3771,0,0,0
620,0,0,0
344,0,0.0172,0
3474,0,0.0379,0
4212,0,0,0
87,0,0.0135,0
4023,0,0,0
2254,0,0.0215,0
1832,0,0,0
3208,0,0.0135,0
3211,0,0.0215,0
1066,0,0.0215,0
3251,0,0,0
3735,0,0.0172,0
101,0,0.0129,0
96,0,0,0
3494,0,0,0
852,0,0,0
585,0,0,0
108,0,0,0
1812,0,0,0
4174,0,0,0
1057,0,0,0
379,0,0,0
1538,0,0,0
4180,0,0.0217,0
2559,0,0,0
837,0,0,0
600,0,0,0
3024,0,0,0
602,0,0,0
1794,0,0,0
4185,0,0,0
1793,0,0,0
606,0,0,0
2032,0,0,0
3165,0,0,0
137,0,0.0129,0
411,0,0,0
139,0,0.0271,0
409,0,0,0
953,0,0,0
