% 1  %DivideBy(%CountNumber(Proximity(Number_body(_range(0,4)),Token(megapixel,megapixels,mp),-3,1)),%CountNumber  (Proximity(Number_body(),Token(megapixel,megapixels,mp),-3,1)))  %BooleanFeature(Proximity(Number_title(_range(0,4)),HTMLTitle(megapixel,megapixels,mp),-3,0))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
1905,0.1429,0,0
282,0.4000,0,0
831,0.0000,0,0
286,0.0000,0,0
4076,0.0000,0,0
3528,0.0000,0,0
2199,0.1667,0,0
21,0.0000,0,0
562,0.0000,0,0
23,0.0000,0,0
261,0.0000,0,0
560,0.0000,0,0
3278,0.0000,0,0
3821,0.0000,0,0
3793,0.0000,0,0
797,0.0000,0,0
1124,0.0000,0,0
520,0.0000,0,0
3321,0.0000,0,0
45,0.0000,0,0
772,0.3333,0,0
291,0.0000,0,0
292,0.3571,0,0
294,0.1667,0,0
52,0.0000,0,0
2964,0.0000,0,0
3308,0.0000,0,0
3459,0.0000,0,0
3767,0.0000,0,0
3765,0.2500,0,0
3221,0.0000,0,0
1574,0.0000,0,0
3224,0.0000,0,0
3040,0.0000,0,0
893,0.0000,0,0
3771,0.0000,0,0
620,0.0000,0,0
344,0.0000,0,0
3474,0.3333,0,0
4212,0.0000,0,0
87,0.0000,0,0
4023,0.0000,0,0
2254,0.0000,0,0
1832,0.4444,0,0
3208,0.0000,0,0
3211,0.0000,0,0
1066,0.2500,0,0
3251,0.5000,0,0
3735,0.0000,0,0
101,0.0000,0,0
96,0.0000,0,0
3494,0.0000,0,0
852,0.0000,0,0
585,0.0000,0,0
108,0.0909,0,0
1812,0.0000,0,0
4174,0.0000,0,0
1057,0.0000,0,0
379,0.0000,0,0
1538,0.1250,0,0
4180,0.0000,0,0
2559,0.2000,0,0
837,0.0000,0,0
600,0.0769,0,0
3024,0.0000,0,0
602,0.3333,0,0
1794,0.0000,0,0
4185,0.0000,0,0
1793,0.0000,0,0
606,0.1000,0,0
2032,0.0000,0,0
3165,0.0000,0,0
137,0.0000,0,0
411,0.2000,0,0
139,0.3636,0,0
409,0.0000,0,0
953,0.0000,0,0
1219,0.0000,0,0
678,0.0000,0,0
2621,1.0000,0,0
401,0.0000,0,0
676,0.0000,0,0
3940,0.0000,0,0
675,0.0000,0,0
135,0.0000,0,0
405,0.0000,0,0
2598,0.2857,0,0
2599,0.3333,0,0
2019,0.0476,0,0
3688,0.0000,0,0
2597,0.3333,0,0
3692,0.2083,0,0
3416,0.0000,0,0
690,0.0000,0,0
2338,0.1429,0,0
2583,0.3333,0,0
3913,0.0000,0,0
