% 1  %BooleanFeature(Token(checkout))  %BooleanFeature(Token(shop shopping))  %BooleanFeature(Token(shipping shipped ships))  %BooleanFeature(Phrase("add to cart")) %BooleanFeature(Token(availability)) 
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE x4	NUMERIC
@ATTRIBUTE x5	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
2197,0,0,1,0,0,0
2198,0,0,1,0,0,0
2199,0,1,1,0,0,1
21,0,1,1,0,1,1
562,1,1,1,1,1,1
23,1,1,1,1,1,1
560,0,1,1,1,1,1
2726,0,0,1,0,0,0
3278,0,0,1,1,1,1
3821,0,1,1,1,1,1
3793,0,0,1,1,1,1
1124,0,1,1,0,1,1
520,0,1,1,1,0,1
45,1,1,1,1,0,1
3321,1,1,1,1,1,1
52,0,1,1,1,1,1
2210,0,1,1,0,1,0
3308,0,0,0,0,0,1
3767,1,1,1,1,1,1
3765,0,1,1,1,1,1
3221,0,1,1,1,0,1
1574,0,1,1,0,1,1
3224,1,1,1,1,1,1
3771,0,1,1,1,1,1
620,0,1,1,1,0,1
2259,1,1,1,0,0,0
87,1,1,1,1,1,1
2254,1,1,1,1,1,1
3208,1,1,1,1,1,1
3211,1,1,1,1,1,1
1066,1,1,1,1,1,1
3251,0,1,1,0,1,1
101,1,1,1,1,1,1
3735,0,0,1,1,1,1
96,0,1,1,1,0,1
2297,1,1,1,1,1,0
585,0,1,1,1,1,1
108,0,1,1,1,0,1
1057,0,0,1,1,1,1
1538,0,1,1,1,0,1
600,0,1,1,1,0,1
602,0,0,1,1,0,1
606,1,1,1,1,0,1
137,1,1,1,1,1,1
2065,0,1,1,0,1,1
3165,0,1,1,1,1,1
139,1,1,1,1,1,1
1219,0,1,1,1,1,1
678,1,1,1,1,0,1
2621,0,0,1,0,0,1
676,1,1,1,1,1,1
675,0,1,1,1,1,1
135,0,0,1,1,0,1
1226,0,1,1,1,1,0
2598,0,0,1,0,0,1
2599,0,0,1,0,0,1
3688,0,1,1,1,1,1
2597,0,0,1,0,0,1
3692,0,0,1,1,1,1
690,0,1,1,0,1,1
2583,0,0,1,0,0,1
2582,0,1,1,0,0,1
2577,0,0,1,0,0,1
2102,0,0,0,0,0,0
2579,0,0,1,0,0,1
1734,0,1,1,1,1,0
2578,0,0,1,0,0,1
2589,0,0,1,0,0,1
3667,0,1,1,1,0,1
641,1,1,1,1,0,1
2584,0,0,1,0,0,1
669,0,1,1,0,1,1
3181,0,1,1,1,1,1
1749,0,0,1,0,1,1
188,1,1,1,1,1,1
3663,0,0,0,0,0,1
2573,0,0,1,0,0,1
2568,0,0,1,0,0,1
2570,0,0,1,0,0,1
3169,0,0,1,1,1,1
207,0,1,1,1,0,1
3641,0,1,0,0,1,0
1163,0,1,1,1,0,1
761,0,1,1,1,1,1
754,0,1,1,1,1,1
3072,0,1,1,1,1,1
215,0,1,1,1,1,1
1181,1,1,1,1,1,1
3617,1,1,1,1,1,1
237,0,1,1,1,0,1
3129,0,1,1,1,1,1
236,1,1,1,1,1,1
2160,0,0,0,0,0,0
1203,0,1,1,0,1,1
1206,0,1,1,1,1,1
3592,1,1,1,1,1,1
3119,1,1,1,1,1,1
248,0,0,1,1,0,1
2630,0,0,1,0,0,1
2632,0,0,1,0,0,1
724,0,1,1,1,1,1
2154,0,1,1,0,0,0
2636,0,0,1,0,0,1
1213,0,1,1,1,1,1
3109,0,0,1,1,0,1
5229,0,1,1,1,0,0
1905,0,1,1,0,0,1
282,0,0,1,1,0,1
831,0,0,1,1,1,1
1906,0,0,0,0,0,0
825,0,1,1,0,0,0
4076,0,0,1,1,1,1
286,1,1,1,1,1,1
3528,0,0,1,1,0,1
1353,0,1,1,1,1,1
261,1,1,1,1,1,1
3556,0,1,0,0,0,0
797,0,1,1,1,0,1
772,0,1,1,1,1,1
291,1,1,1,1,1,1
292,1,1,1,1,1,1
294,1,1,1,1,1,1
4120,0,0,1,1,1,0
1858,0,0,0,0,0,0
1859,0,0,0,0,0,0
2964,1,1,1,1,1,1
3459,0,1,1,1,0,1
1849,0,0,0,0,0,0
3040,0,1,1,0,1,1
893,0,1,1,1,1,1
344,1,1,1,1,1,1
3474,1,1,1,1,1,1
4212,0,1,1,1,1,1
4023,0,1,1,1,1,1
1832,0,1,1,0,1,1
1293,0,0,1,1,0,0
1830,0,1,1,0,1,0
1286,0,1,1,0,1,0
1284,0,1,1,0,1,0
1817,0,0,0,0,0,0
852,0,1,1,1,1,1
3494,0,1,1,1,1,1
4174,0,0,1,1,1,1
1812,0,0,0,0,0,1
379,0,1,1,1,0,1
4180,1,1,1,1,1,1
2559,0,0,1,0,0,1
837,0,0,1,1,0,1
1313,1,1,1,1,0,0
3024,0,1,1,1,0,1
1794,0,1,1,0,1,1
4185,0,0,1,1,1,1
1793,0,1,1,0,1,1
2032,0,1,1,0,0,1
411,0,0,1,1,0,1
409,0,1,1,1,0,1
953,0,1,1,0,1,1
2311,0,0,0,0,0,0
401,1,1,1,1,1,1
2043,0,1,1,0,0,0
2313,0,0,0,0,0,0
3940,1,1,1,1,1,1
405,1,1,1,1,1,1
2019,1,1,1,0,1,1
2018,0,1,0,0,0,0
1474,0,1,1,1,0,0
3416,0,1,1,0,0,1
2024,0,0,0,0,0,0
2328,0,0,0,0,0,0
2337,0,0,0,0,0,0
2338,0,1,0,0,0,1
3913,0,1,1,0,1,1
2342,0,1,1,0,0,0
2011,0,0,1,0,0,0
3424,0,1,1,1,0,1
3931,0,1,1,1,0,1
3929,1,1,1,0,1,1
429,1,1,1,1,1,1
1991,0,1,0,0,0,0
906,0,1,1,1,1,1
904,0,1,1,0,0,0
1988,0,1,1,1,0,1
417,0,1,1,1,0,1
901,0,1,1,1,1,1
1513,0,1,1,1,0,1
420,1,1,1,1,1,1
422,0,1,1,1,0,1
474,0,1,1,1,1,1
3881,0,0,1,1,1,1
1428,0,1,1,0,0,1
1981,0,0,0,0,0,0
3331,1,0,1,1,1,1
3334,0,1,1,0,1,1
3874,0,1,1,0,1,1
464,0,1,1,1,1,1
1978,0,1,1,1,1,1
3353,0,1,1,1,1,1
1007,0,1,1,0,0,0
1955,0,1,1,0,0,1
999,1,1,1,1,1,1
449,1,0,1,1,0,1
508,1,0,1,1,0,1
1464,0,1,1,0,0,0
976,0,1,1,0,1,1
503,0,0,1,1,0,1
1949,0,1,0,0,0,0
970,0,1,1,1,1,1
973,0,1,1,1,1,1
485,0,1,1,1,1,1
1451,0,1,1,0,0,0
1933,0,0,0,0,0,0
