% 1  %BooleanFeature(Phrase(Token('$'),Number_body(_range(0,99.9)))) %BooleanFeature(Proximity(Token(price),Phrase(Token('$'),Number_body(_range(0,99.9))),-3,3)) %BooleanFeature(Proximity(Phrase(Token(your,our,special,sale),Token(price)),Phrase(Token('$'),Number_body(_range(0,99.9))),-7,0)) 
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
1905,0,0,0,0
282,1,0,0,0
831,1,0,0,0
286,1,1,1,0
4076,1,0,0,0
3528,1,1,0,0
2199,0,0,0,0
21,1,0,0,0
562,1,1,1,0
23,1,1,1,0
261,1,1,1,0
1353,1,1,0,0
560,1,0,0,0
3278,1,1,0,0
3821,1,1,0,0
797,1,1,1,0
1124,1,1,1,1
520,1,0,0,0
3321,1,0,0,0
45,1,0,0,0
772,1,1,0,0
291,1,0,0,0
292,1,0,0,0
294,1,0,0,0
52,1,1,0,0
2964,1,0,0,0
3308,0,0,0,0
3765,1,1,1,0
3221,0,0,0,0
1574,1,1,1,0
3224,1,1,1,0
3040,1,1,0,0
893,1,1,1,0
3771,1,1,1,0
344,1,1,1,0
3474,1,1,1,0
4212,1,1,1,0
87,1,0,0,0
4023,1,1,1,0
2254,1,1,1,0
1832,1,0,0,0
3208,1,0,0,0
3211,1,1,1,0
1066,1,1,1,0
3251,1,0,0,0
3735,1,1,0,1
101,1,1,1,0
3494,1,1,0,0
852,1,1,0,0
585,1,0,0,0
108,1,0,0,0
4174,1,0,0,0
1057,1,1,1,0
1538,1,1,1,1
4180,1,0,0,0
2559,1,0,0,0
837,1,1,0,0
600,1,0,0,0
3024,1,0,0,0
602,1,0,0,0
1794,1,0,0,0
4185,1,0,0,0
606,1,0,0,0
2032,1,1,0,0
3165,1,1,1,0
2065,1,0,0,0
137,1,1,1,0
411,1,0,0,0
139,1,1,1,0
409,1,0,0,0
953,1,1,0,0
1219,1,1,0,0
678,1,0,0,0
401,1,1,1,0
676,1,1,1,0
3940,1,1,1,0
675,1,0,0,0
135,1,0,0,0
405,1,1,1,0
2598,1,0,0,0
2599,1,0,0,0
2019,1,1,0,0
3688,1,1,1,0
2597,1,0,0,0
3692,1,1,0,0
3416,1,0,0,0
690,1,0,0,0
2338,0,0,0,0
2583,1,0,0,0
3913,1,0,0,0
2582,1,0,0,0
2577,1,0,0,0
2579,1,0,0,0
2578,1,0,0,0
2589,1,0,0,1
3667,1,1,1,0
3424,1,1,1,0
2584,1,0,0,0
3931,1,1,1,0
669,1,1,0,0
3929,1,0,0,0
3181,1,0,0,0
429,1,1,1,0
906,1,0,0,0
1749,1,0,0,0
188,1,1,1,0
1988,1,1,1,0
3663,0,0,0,0
2573,1,0,0,0
901,1,1,0,0
1513,1,1,1,0
2568,1,0,0,0
420,1,1,1,0
2570,1,0,0,0
3169,1,1,0,0
207,1,1,1,0
474,1,0,0,0
3881,1,1,0,1
3331,1,0,0,0
1163,1,1,1,0
3334,0,0,0,0
1978,1,1,0,0
464,1,0,0,0
3874,1,1,0,0
3353,1,0,0,0
761,1,1,0,0
1955,1,0,0,0
754,1,1,0,0
3072,1,1,1,0
215,1,0,0,0
1181,1,1,1,0
449,1,1,0,0
999,1,1,1,0
3617,1,0,0,0
508,1,1,0,0
237,1,0,0,0
3129,1,1,1,0
236,1,1,1,0
976,1,0,0,0
503,1,0,0,0
970,1,0,0,0
1203,0,0,0,0
1206,1,0,0,0
3592,1,0,0,0
3119,1,1,1,0
973,1,1,1,0
248,1,0,0,0
2630,1,0,0,1
485,1,1,0,0
2632,1,0,0,0
724,1,0,0,0
2636,1,0,0,1
1213,1,0,0,0
3109,1,1,0,0
1905,1,0,0,0
282,1,1,1,1
831,1,1,1,1
286,1,1,1,0
4076,1,0,0,0
3528,1,0,0,0
2199,1,1,0,1
21,1,0,0,0
562,1,1,1,0
23,1,1,1,0
261,1,1,1,0
1353,1,1,0,0
560,1,0,0,0
3278,1,1,0,0
3821,1,1,0,0
797,1,1,1,1
1124,0,0,0,0
520,1,0,0,0
3321,1,0,0,0
45,1,1,0,1
772,1,1,0,1
291,1,0,0,0
292,1,0,0,0
294,1,0,0,0
52,1,0,0,0
2964,1,0,0,0
3308,0,0,0,0
3765,1,0,0,0
3221,1,0,0,1
1574,0,0,0,0
3224,1,1,1,0
3040,1,1,0,1
893,1,1,1,0
3771,1,1,1,0
344,1,1,1,0
3474,1,0,0,1
4212,1,1,1,0
87,1,0,0,0
4023,1,1,1,1
2254,1,1,1,0
1832,1,1,0,0
3208,1,0,0,0
3211,1,0,0,0
1066,1,0,0,1
3251,1,1,0,0
3735,1,1,0,0
101,1,1,1,0
3494,1,0,0,0
852,1,1,0,0
585,1,0,0,0
108,1,0,0,0
4174,1,1,1,1
1057,1,1,0,1
1538,1,0,0,0
4180,1,0,0,0
2559,0,0,0,0
837,1,0,0,0
600,1,0,0,0
3024,1,0,0,1
602,1,0,0,0
1794,0,0,0,0
4185,1,0,0,0
606,1,1,0,1
2032,0,0,0,0
3165,1,1,1,0
2065,0,0,0,0
137,1,1,1,0
411,1,0,0,0
139,0,0,0,0
409,1,0,0,0
953,1,1,0,0
1219,1,1,0,0
678,1,1,0,1
401,1,0,0,1
676,1,1,1,0
3940,1,0,0,1
675,1,1,0,0
135,1,0,0,0
405,1,0,0,0
2598,1,1,0,1
2599,1,1,0,1
2019,1,0,0,0
3688,0,0,0,0
2597,1,1,0,1
3692,1,1,0,0
3416,1,0,0,1
690,1,0,0,0
2338,0,0,0,0
2583,1,0,0,1
3913,0,0,0,0
2582,1,0,0,0
2577,0,0,0,0
2579,1,0,0,1
2578,1,1,0,1
2589,1,0,0,0
3667,0,0,0,0
3424,1,1,1,0
2584,1,0,0,1
3931,0,0,0,0
669,1,1,0,1
3929,1,0,0,0
3181,1,1,1,1
429,1,0,0,1
906,1,0,0,0
1749,1,0,0,1
188,1,0,0,0
1988,1,0,0,0
3663,0,0,0,1
2573,1,0,0,1
901,1,1,1,1
1513,1,1,1,1
2568,1,0,0,0
420,1,1,1,1
2570,1,0,0,1
3169,1,1,0,0
207,1,0,0,0
474,1,1,0,0
3881,1,1,0,0
3331,1,0,0,0
1163,0,0,0,0
3334,0,0,0,0
1978,1,1,0,0
464,1,0,0,0
3874,1,1,0,0
3353,0,0,0,0
761,1,0,0,0
1955,1,0,0,1
754,1,1,1,1
3072,1,1,1,0
215,1,0,0,0
1181,1,1,1,0
449,1,0,0,0
999,1,0,0,1
3617,1,0,0,0
508,1,0,0,0
237,0,0,0,0
3129,0,0,0,0
236,1,0,0,0
976,0,0,0,0
503,0,0,0,0
970,0,0,0,0
1203,1,1,1,1
1206,1,0,0,1
3592,1,0,0,0
3119,1,0,0,0
973,0,0,0,0
