% 1 %BooleanFeature(Token(CONT)) 
% 2 %BooleanFeature(Phrase(CONT))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
1009,1,1,1
4306,0,0,0
4429,0,0,0
7032,0,0,0
7505,0,0,0
428,1,0,0
849,1,0,1
1009,1,0,0
1627,1,0,0
1842,1,0,0
2224,1,0,0
2813,1,1,1
3508,1,0,0
4256,1,0,0
4560,1,0,0
4561,1,0,0
849,0,0,1
919,0,0,0
920,0,0,0
1019,0,0,0
1023,0,0,0
1526,0,0,0
1842,1,1,1
2441,1,1,1
2813,0,0,0
4256,0,0,1
4368,0,0,0
5253,0,0,0
849,0,0,0
919,1,0,0
920,0,0,0
1019,1,0,0
1023,0,0,0
1526,1,0,0
2441,0,0,0
2813,1,0,1
4368,1,0,0
4429,1,0,1
4560,1,1,1
4561,1,1,1
5253,0,0,0
849,0,0,0
919,1,1,1
920,1,1,1
1019,1,1,0
1023,0,0,0
1526,0,0,0
2441,0,0,0
2813,0,0,0
4368,1,1,1
5253,0,0,0
849,0,0,0
919,1,1,1
920,0,0,0
1019,1,1,1
1023,0,0,0
1526,1,1,1
2441,0,0,0
2813,1,1,1
4306,1,1,0
4368,1,1,1
4429,1,1,1
4560,1,1,1
4561,1,1,1
5253,0,0,0
