% 1 %BooleanFeature(Proximity(Token(fall,winter,summer,spring,autumn),Number_body(YEAR),-3,3)) 
% 2 %BooleanFeature(Number_body(YEAR)) 
% 3 %BooleanFeature(Number_title(YEAR))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
428,0,0,0,0
849,0,0,0,0
919,1,1,0,1
920,0,1,0,0
1009,0,0,0,0
1019,1,1,0,0
1023,1,1,1,1
1526,1,1,1,1
1627,1,1,0,0
1842,0,0,0,0
2224,0,0,0,0
2441,1,1,0,0
2813,1,1,1,1
2996,0,0,0,0
3508,0,0,0,0
4256,0,0,0,0
4306,0,0,0,0
4368,0,0,0,0
4429,0,0,0,0
4461,0,0,0,0
4560,0,0,0,0
4561,0,0,0,0
4667,0,0,0,0
5253,0,0,0,0
6250,0,0,0,0
7032,0,0,0,0
7505,0,0,0,0
428,1,1,0,1
849,0,0,0,0
919,0,0,0,0
920,0,0,0,0
1009,0,0,0,0
1019,0,0,0,0
1023,0,0,0,0
1526,0,0,0,0
1627,0,1,0,0
1842,0,1,1,0
2224,0,0,0,0
2441,0,0,0,0
2813,0,0,0,0
2996,0,0,0,0
3508,0,0,0,0
4256,1,1,0,1
4306,1,1,0,0
4368,0,0,0,0
4429,1,1,0,1
4461,0,0,0,0
4560,0,0,0,0
4561,0,0,0,0
4667,0,0,0,0
5253,0,0,0,0
6250,0,0,0,0
7032,0,0,0,0
7505,0,0,0,0
428,0,0,0,0
849,0,0,0,0
919,0,0,0,0
920,0,0,0,0
1009,0,0,0,0
1019,0,0,0,0
1023,1,1,0,0
1526,1,1,0,0
1627,0,1,0,0
1842,0,0,0,0
2224,1,1,0,0
2441,0,0,0,0
2813,0,0,0,0
2996,0,0,0,0
3508,0,0,0,0
4256,0,0,0,0
4306,0,0,0,0
4368,0,0,0,0
4429,0,0,0,0
4461,0,0,0,0
4560,1,1,1,1
4561,1,1,1,1
4667,1,1,0,1
5253,0,0,0,0
6250,0,0,0,0
7032,0,0,0,0
7505,0,0,0,0
428,0,0,0,0
849,0,0,0,0
919,1,1,0,0
920,0,0,0,0
1009,0,0,0,0
1019,0,0,0,0
1023,1,1,0,0
1526,0,0,0,0
1627,1,1,0,1
1842,0,0,0,0
2224,1,1,0,0
2441,0,0,0,0
2813,0,0,0,0
2996,0,0,0,0
3508,1,1,0,1
4256,0,0,0,0
4306,1,1,0,0
4368,0,0,0,0
4429,0,0,0,0
4461,0,0,0,0
4560,0,0,0,0
4561,0,0,0,0
4667,1,1,0,0
5253,0,0,0,0
6250,0,0,0,0
7032,0,0,0,0
7505,0,1,0,0
428,0,0,0,0
849,0,0,0,0
919,0,0,0,0
920,0,0,0,0
1009,0,0,0,0
1019,0,0,0,0
1023,1,1,0,0
1526,0,1,0,0
1627,1,1,0,1
1842,0,0,0,0
2224,1,1,0,1
2441,0,0,0,0
2813,0,1,0,0
2996,0,0,0,0
3508,0,0,0,0
4256,0,0,0,0
4306,0,1,1,0
4368,0,0,0,0
4429,0,0,0,0
4461,0,0,0,0
4560,0,0,0,0
4561,0,0,0,0
4667,0,0,0,0
5253,0,0,0,0
6250,0,1,0,0
7032,0,0,0,0
7505,0,1,0,0
428,0,0,0,0
849,0,0,0,0
919,0,0,0,0
920,0,0,0,0
1009,0,0,0,0
1019,0,0,0,0
1023,1,1,0,0
1526,0,0,0,0
1627,1,1,0,0
1842,0,0,0,0
2224,0,0,0,0
2441,0,0,0,0
2813,0,0,0,0
2996,0,0,0,0
3508,0,0,0,0
4256,0,0,0,0
4306,0,0,0,0
4368,0,0,0,0
4429,0,0,0,0
4461,0,0,0,0
4560,0,0,0,0
4561,0,0,0,0
4667,0,0,0,0
5253,0,0,0,0
6250,0,0,0,0
7032,0,0,0,0
7505,1,1,1,1
428,0,0,0,0
849,0,0,0,0
919,0,0,0,0
920,0,0,0,0
1009,1,1,0,1
1019,0,0,0,0
1023,0,0,0,0
1526,0,1,0,0
1627,0,1,0,0
1842,1,1,0,1
2224,0,1,0,0
2441,0,0,0,0
2813,0,0,0,0
2996,0,0,0,0
3508,0,0,0,0
4256,0,0,0,0
4306,0,1,0,0
4368,0,0,0,0
4429,0,0,0,0
4461,0,0,0,0
4560,0,0,0,0
4561,1,1,0,0
4667,1,1,0,0
5253,0,0,0,0
6250,0,0,0,0
7032,0,0,0,0
7505,0,0,0,0
428,0,0,0,0
849,1,1,0,1
919,1,1,0,1
920,0,0,0,0
1009,0,0,0,0
1019,0,0,0,0
1023,0,0,0,0
1526,0,0,0,0
1627,0,0,0,0
1842,0,0,0,0
2224,0,0,0,0
2441,0,1,0,0
2813,1,1,0,0
2996,0,0,0,0
3508,0,0,0,0
4256,0,0,0,0
4306,0,0,0,0
4368,0,0,0,0
4429,0,0,0,0
4461,0,0,0,0
4560,0,0,0,0
4561,0,0,0,0
4667,0,0,0,0
5253,0,0,0,0
6250,0,0,0,0
7032,0,0,0,0
7505,0,0,0,0
428,0,0,0,0
849,0,0,0,0
919,0,0,0,0
920,0,0,0,0
1009,0,0,0,0
1019,0,0,0,0
1023,0,0,0,0
1526,0,1,0,0
1627,0,1,0,0
1842,0,0,0,0
2224,0,1,0,0
2441,0,0,0,0
2813,0,0,0,0
2996,1,1,0,1
3508,0,0,0,0
4256,0,0,0,0
4306,0,0,0,0
4368,0,0,0,0
4429,0,0,0,0
4461,0,0,0,0
4560,0,0,0,0
4561,0,0,0,0
4667,1,1,0,0
5253,1,1,0,1
6250,0,0,0,0
7032,0,0,0,0
7505,0,1,0,0
428,0,0,0,0
849,0,0,0,0
919,0,0,0,0
920,0,0,0,0
1009,0,1,0,0
1019,0,0,0,0
1023,0,0,0,0
1526,0,1,0,0
1627,0,0,0,0
1842,0,1,0,0
2224,0,0,0,0
2441,0,0,0,0
2813,0,0,0,0
2996,0,0,0,0
3508,0,0,0,0
4256,1,1,0,0
4306,0,0,0,0
4368,0,0,0,0
4429,0,0,0,0
4461,1,1,0,1
4560,0,0,0,0
4561,0,0,0,0
4667,0,0,0,0
5253,0,0,0,0
6250,0,0,0,0
7032,0,0,0,0
7505,0,0,0,0
