% 1 %BooleanFeature(HTMLTitle(laptop))  
% 2 %BooleanFeature(Token(availability))  
% 3 %BooleanFeature(Token(laptop))  
% 4 %BooleanFeature(Phrase(Token(product),Token(descriptions,description,specification,specifications)))  
% 5 %BooleanFeature(Token(warranty))  
% 6 %BooleanFeature(Token(manufacturer)) 
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE x4	NUMERIC
@ATTRIBUTE x5	NUMERIC
@ATTRIBUTE x6	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
8,0,1,0,1,1,1,1
45,0,1,0,1,1,1,1
82,0,1,1,0,1,1,1
112,0,0,0,1,1,0,1
120,0,1,0,0,0,1,1
129,0,1,0,0,1,1,1
210,0,0,0,0,0,0,1
227,0,0,0,0,0,0,1
240,0,0,0,0,0,0,1
245,0,0,0,0,0,0,1
249,0,1,0,0,1,1,1
250,0,0,0,0,0,0,1
255,1,1,1,0,1,1,1
271,0,1,1,0,1,1,1
278,0,0,0,1,1,1,1
283,0,0,0,0,0,0,1
318,0,1,1,0,1,1,1
326,0,0,0,0,0,0,1
334,0,1,0,0,1,1,1
377,0,1,1,0,0,0,1
414,0,0,0,0,1,1,1
437,0,1,1,0,1,1,1
445,0,1,0,0,1,1,1
453,0,0,0,0,0,0,1
461,0,1,0,1,1,1,1
476,0,0,0,1,1,1,1
503,0,0,0,0,1,1,1
507,0,0,0,1,0,1,1
534,0,1,0,0,1,1,1
539,0,1,1,0,1,1,1
586,0,0,0,1,0,1,1
608,0,0,0,1,1,1,1
627,0,0,0,0,0,0,1
658,0,0,0,0,0,0,1
685,0,1,0,0,1,1,1
686,0,1,0,0,1,1,1
687,0,0,1,1,1,1,1
695,0,0,0,1,1,1,1
711,0,1,1,0,0,1,1
734,0,0,0,0,0,0,1
751,0,0,0,0,0,0,1
757,0,1,0,0,1,1,1
772,0,0,0,0,0,0,1
801,0,0,0,1,1,1,1
805,0,0,1,1,1,1,1
818,0,1,0,0,1,1,1
849,0,1,0,0,1,1,1
869,0,1,1,0,0,0,1
875,0,1,0,0,0,1,1
878,0,1,0,0,0,1,1
901,0,0,0,0,0,0,1
902,0,0,0,1,1,1,1
914,0,1,0,1,0,1,1
923,0,0,0,1,0,1,1
970,0,0,0,1,0,1,1
983,0,1,0,0,1,1,1
985,0,0,0,0,0,0,1
993,0,1,0,0,1,1,1
1000,0,1,0,1,0,1,1
1015,0,0,0,1,1,1,1
1027,0,0,0,1,1,1,1
1030,0,0,0,0,0,0,1
1048,0,1,0,0,1,1,1
1080,0,1,0,1,0,1,1
1094,0,0,0,0,0,0,1
1117,0,0,1,1,0,1,1
1123,1,1,1,0,1,0,1
1124,0,1,1,1,1,1,1
1169,0,0,0,0,0,0,1
1179,0,1,0,0,1,1,1
1200,0,1,0,1,1,1,1
1223,0,0,0,0,0,0,1
1234,0,1,0,1,1,1,1
1235,0,1,0,0,1,1,1
1241,0,1,0,1,1,1,1
1245,0,1,1,0,1,1,1
1248,0,1,0,0,1,1,1
1251,0,0,0,0,0,0,1
1256,0,0,0,0,0,0,1
1264,0,0,0,1,1,1,1
1303,0,0,0,0,0,0,1
1305,0,0,0,1,1,1,1
1311,0,0,0,0,0,0,1
1336,0,1,0,0,0,0,1
1343,0,0,0,0,0,0,1
1346,0,0,0,1,0,1,1
1358,0,1,0,0,1,0,1
1362,0,0,0,0,0,0,1
1385,0,0,0,0,0,0,1
1428,1,1,1,0,1,1,1
1437,0,1,1,0,0,0,1
1448,0,0,0,1,1,1,1
1451,0,0,0,0,0,0,1
1500,0,1,1,0,1,1,1
1526,0,1,1,0,1,1,1
1551,0,1,0,0,1,1,1
1566,0,1,0,0,0,1,1
1587,0,1,1,0,1,1,1
1608,0,1,0,0,0,1,1
1614,0,1,0,0,1,1,1
1627,0,0,0,0,1,1,1
1635,0,0,1,0,1,1,1
1639,0,0,0,1,1,1,1
1648,0,1,1,0,1,1,1
1673,0,0,0,0,1,1,1
1680,0,0,0,0,0,0,1
1686,0,0,0,1,1,1,1
1704,0,1,0,0,1,1,1
1724,0,1,1,0,1,1,1
1734,0,1,0,0,1,1,1
1771,0,1,0,0,0,1,1
1775,0,1,1,0,0,0,1
1778,0,0,0,1,0,1,1
1800,0,1,0,0,1,1,1
1806,0,0,0,1,1,1,1
1831,0,1,1,1,0,1,1
1845,0,1,1,0,1,1,1
1888,0,1,0,0,1,1,1
1890,0,0,0,1,1,1,1
1906,0,1,1,0,1,1,1
1922,0,0,0,1,1,1,1
1937,0,0,0,0,0,0,1
1967,0,0,0,0,0,0,1
1970,0,0,0,1,0,1,1
2023,0,0,0,1,1,1,1
2036,0,1,0,1,1,1,1
2039,0,1,1,1,1,1,1
2043,0,0,0,1,1,1,1
2050,0,1,0,1,1,1,1
2060,0,0,0,0,0,0,1
2065,0,0,0,1,1,1,1
2099,0,0,0,1,0,1,1
2110,0,0,0,1,1,1,1
2129,0,1,1,0,1,1,1
2137,0,0,0,1,0,1,1
2150,0,1,0,0,1,1,1
2156,0,0,0,0,0,0,1
2195,0,1,0,0,0,1,1
2204,0,0,0,1,0,1,1
2227,0,1,0,1,1,1,1
2232,0,1,0,0,1,1,1
2252,0,0,0,1,0,1,1
2269,0,0,0,1,1,1,1
2272,0,0,1,0,1,1,1
2275,0,1,0,0,1,1,1
2284,0,0,0,1,1,1,1
2309,0,0,0,0,0,0,1
2312,0,0,0,1,1,1,1
2317,0,0,0,1,1,1,1
2341,0,0,0,0,1,1,1
2347,0,0,0,0,0,0,1
2352,0,1,0,0,0,1,1
2367,0,0,0,0,0,0,1
2370,0,1,0,0,1,1,1
2371,0,0,0,0,1,1,1
2389,0,0,0,1,1,1,1
2395,0,0,0,0,1,1,1
2419,0,0,0,1,0,1,1
2432,0,0,0,0,0,0,1
2439,0,1,1,1,1,1,1
2444,0,1,1,0,0,0,1
2446,0,1,1,1,0,1,1
2459,0,1,0,0,1,1,1
2464,0,0,0,1,1,1,1
2503,0,1,0,0,0,1,1
2508,0,0,1,0,1,1,1
2526,0,0,0,1,1,1,1
2531,0,1,1,0,0,0,1
2565,0,1,1,0,0,0,1
2583,0,1,1,0,1,1,1
2605,1,0,1,1,1,1,1
2631,0,0,0,1,1,1,1
2653,0,1,0,1,1,1,1
2673,0,1,0,1,1,1,1
2674,0,1,0,0,1,1,1
2687,0,0,0,1,1,1,1
2701,0,0,0,1,0,1,1
2704,0,0,0,0,0,0,1
2719,0,0,0,1,1,1,1
2725,0,0,0,0,0,0,1
2740,0,0,0,0,1,1,1
2788,0,0,0,0,0,0,1
2795,0,0,0,1,1,1,1
2811,0,0,0,1,0,1,1
2838,0,0,1,1,1,1,1
2839,0,1,1,1,1,1,1
2855,0,1,0,1,1,1,1
2856,0,1,0,0,0,1,1
2862,0,0,0,1,1,1,1
2912,0,1,1,0,1,1,1
2917,0,1,0,0,1,1,1
2922,0,0,0,0,1,1,1
2924,0,0,0,0,0,0,1
2955,0,0,0,0,0,0,1
2956,0,1,0,0,0,1,1
2959,0,0,1,1,1,1,1
2964,0,1,1,0,0,0,1
2965,0,1,0,0,0,1,1
2977,0,0,0,1,0,1,1
2993,0,0,0,0,1,1,1
3043,0,0,0,0,1,1,1
3046,0,0,0,1,1,1,1
3049,0,1,0,0,1,1,1
3079,0,0,0,1,1,1,1
3115,0,1,0,0,1,0,1
3123,0,1,1,0,1,1,1
3143,0,1,1,0,1,1,1
3144,0,0,0,1,1,1,1
3158,0,0,0,0,0,0,1
3174,0,0,0,1,1,1,1
3180,0,0,0,0,0,0,1
3192,0,0,0,0,0,0,1
3196,0,0,0,0,0,0,1
3210,0,1,0,1,1,1,1
3213,0,1,1,1,0,1,1
3223,0,0,1,0,1,1,1
3233,0,0,0,1,1,1,1
3238,0,0,0,1,0,1,1
3245,0,0,0,0,0,0,1
3250,0,0,0,0,1,1,1
3291,0,1,1,0,1,1,1
3318,0,1,0,0,1,1,1
3334,0,1,1,0,1,1,1
3351,0,1,0,0,0,1,1
3352,0,1,1,0,0,0,1
3354,0,0,0,0,1,1,1
3365,0,1,0,0,1,1,1
3405,0,0,0,0,1,1,1
3408,0,1,0,1,1,1,1
3422,0,0,0,0,0,0,1
3472,0,0,0,0,0,0,1
3496,0,0,0,0,0,0,1
3539,0,0,0,0,0,0,1
3584,0,0,0,0,0,0,1
3596,0,1,1,0,1,1,1
3597,0,1,0,0,0,1,1
3600,0,1,1,0,1,1,1
3624,0,1,0,0,1,1,1
3632,0,0,0,1,1,1,1
3674,0,1,0,0,1,1,1
3687,0,0,0,1,0,1,1
