% 1 %BooleanFeature(Proximity(Phrase('research group'),Token(AREA),-10,10)) 
% 2 %BooleanFeature(Proximity(Phrase('group'),Token(AREA),-3,3)) 
% 3 %BooleanFeature(Proximity(Or(Phrase('my research'),Phrase('research interests'),Phrase('research summary')),Token(AREA),-50,0)) 
% 4 %BooleanFeature(Token(AREA))
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE x4	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
4885,0,0,0,0,0
4959,0,0,1,1,1
5197,0,0,1,1,1
5351,0,0,0,0,0
5455,0,0,0,1,1
5471,0,0,1,1,1
5623,0,0,0,0,0
5720,0,0,1,1,1
5766,0,0,0,0,0
6825,0,0,1,1,1
7028,0,0,1,1,1
7415,0,0,0,0,0
7618,0,0,0,1,1
7764,0,0,0,1,0
8387,0,0,1,1,1
8447,0,0,1,1,1
9015,0,0,0,0,0
9960,0,0,0,0,0
4853,0,0,1,1,1
4930,0,0,1,1,1
4956,1,0,1,1,1
5197,0,0,0,1,0
5455,1,1,0,1,0
5471,0,0,0,0,0
5623,0,1,1,1,1
5665,0,1,1,1,1
5670,0,0,1,1,1
5819,0,0,0,0,0
6311,0,1,1,1,0
6461,0,0,1,1,0
7130,0,1,0,1,1
7618,0,0,0,0,0
7753,0,0,1,1,1
8232,0,0,0,0,0
8387,0,0,1,1,1
9510,0,0,0,1,1
10190,0,0,0,0,0
10194,0,0,0,0,0
10559,0,0,0,1,0
5197,0,0,0,0,0
5455,0,0,0,0,0
5471,0,0,0,0,1
5665,0,0,0,0,0
5670,0,0,0,0,0
5720,0,0,1,1,1
5766,0,0,1,1,1
6311,0,0,0,0,0
6461,0,1,1,1,1
6966,0,0,1,1,1
7415,0,0,1,1,1
7618,0,0,0,0,0
8232,0,0,0,0,0
9960,0,1,1,1,1
10194,0,0,0,0,0
10310,0,0,1,1,1
4885,0,0,0,0,0
4959,0,0,0,0,0
5138,0,0,1,1,1
5351,0,0,0,0,0
5471,0,0,1,1,1
5623,0,0,0,0,0
5766,0,0,0,0,0
6444,0,0,1,1,1
7415,0,0,0,0,0
7764,1,1,0,1,1
8387,0,0,0,0,0
9015,0,0,0,0,0
9960,0,0,0,0,0
4930,0,0,0,1,0
4956,0,0,0,1,0
4959,0,0,1,1,1
4961,0,0,1,1,1
5455,0,0,1,1,0
5471,0,0,1,1,0
5720,0,0,1,1,1
6444,0,0,0,0,0
7130,0,0,0,1,0
7392,0,0,0,1,0
7668,0,0,1,1,1
7753,0,0,0,0,0
8488,0,0,0,1,1
9304,0,0,0,1,0
10310,0,0,0,0,0
10559,1,1,1,1,1
4885,0,0,0,1,1
4930,0,0,1,1,1
4956,0,0,1,1,1
5197,0,0,1,1,1
5351,0,0,0,0,0
5623,0,0,0,0,0
5720,0,0,1,1,0
7415,0,0,1,1,0
7764,0,0,0,0,0
8387,0,0,0,0,0
9510,0,1,1,1,1
9994,0,0,1,1,0
11003,0,0,0,0,0
